,Year,percent_change_cpi,inflation_rate,quantity_realestate_loans_billions,realestate_price_change,mortgage_fixed_rate
43,2010,0.07226083333333333,2.3836363636363633,81603.3472,-2.0936518177164802,4.689807692307692
44,2011,0.17416500000000001,2.4425000000000003,75463.4144,5.445438219207782,4.447884615384615
45,2012,0.17642083333333333,2.3633333333333333,74053.2611,4.271859617169932,3.6574999999999998
46,2013,0.1558525,2.3775,75752.5455,10.6572687085811,3.9755769230769227
47,2014,0.16781749999999998,2.2266666666666666,82446.6872,8.013405687706232,4.168867924528302
48,2015,0.19952999999999999,1.8391666666666666,88264.9478,10.796270549516077,3.8505769230769227
49,2016,0.20994916666666666,1.7358333333333331,98077.6693,2.435616777025583,3.6540384615384616
50,2017,0.17669833333333332,1.9708333333333332,105948.0144,6.285186040246923,3.9898076923076924
51,2018,0.2040525,2.1025,111344.4583,3.0856245667087827,4.544615384615384
52,2019,0.22640916666666666,1.8016666666666667,116582.0401,6.479284336634895,3.935769230769231
53,2020,0.1498575,1.6641666666666666,126058.5962,1.4165353183969291,3.111698113207547
54,2021,0.2999775,2.2533333333333334,127756.33840000001,11.052335243054227,2.957692307692308
55,2022,0.5382975,2.3475,139432.196,5.817528955750896,5.344038461538461
56,2023,0.3736275,2.290833333333333,151997.9516,-1.6488600277111138,6.806730769230769
57,2024,0.3250613614444445,2.2488888888888887,119805.1295,-8.92543472536121,6.7248780487804884
